wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.253486703424352837e+10
9.951457760902583161e+00,1.264932625185752487e+10
9.918341428919545066e+00,1.247377402493093491e+10
9.885335301036285216e+00,1.202312306406716156e+10
9.852439010517029416e+00,1.287985477392751312e+10
9.819652191846424572e+00,1.279041920014018250e+10
9.786974480725472603e+00,1.341136139760842705e+10
9.754405514067482130e+00,1.339636074276724625e+10
9.721944929994046802e+00,1.354345552177102280e+10
9.689592367831005859e+00,1.366467583483143997e+10
9.657347468104447330e+00,1.366871445237432861e+10
9.625209872536711231e+00,1.373961075433129120e+10
9.593179224042414077e+00,1.395913618176129150e+10
9.561255166724468069e+00,1.427588674779127884e+10
9.529437345870142906e+00,1.445282798177159500e+10
9.497725407947113396e+00,1.432650103591594696e+10
9.466119000599535482e+00,1.452013011322671890e+10
9.434617772644131151e+00,1.430141422534626007e+10
9.403221374066280447e+00,1.460164809052874947e+10
9.371929456016141913e+00,1.492208939339329338e+10
9.340741670804776575e+00,1.543047647596515465e+10
9.309657671900266607e+00,1.537479832999580383e+10
9.278677113923894382e+00,1.549241310759090996e+10
9.247799652646277124e+00,1.574468472303281021e+10
9.217024944983560175e+00,1.600547187456512260e+10
9.186352648993601377e+00,1.606996749081424141e+10
9.155782423872159015e+00,1.594415939664632034e+10
9.125313929949122382e+00,1.645015025395669746e+10
9.094946828684733475e+00,1.633629784007744789e+10
9.064680782665815784e+00,1.649597533727935791e+10
9.034515455602036837e+00,1.608348442978598595e+10
9.004450512322161870e+00,1.694508641396842194e+10
8.974485618770339457e+00,1.656513959639619446e+10
8.944620442002385374e+00,1.673529424433408737e+10
8.914854650182078899e+00,1.691805949663218498e+10
8.885187912577478642e+00,1.715770164278528404e+10
8.855619899557254371e+00,1.732900594987312317e+10
8.826150282587015283e+00,1.701160199164435005e+10
8.796778734225661367e+00,1.641235183594250298e+10
8.767504928121747199e+00,1.705852348423383522e+10
8.738328539009863505e+00,1.734959274526520538e+10
8.709249242707002736e+00,1.689450367997295380e+10
8.680266716108974379e+00,1.663364737663632774e+10
8.651380637186814937e+00,1.719362389477919388e+10
8.622590684983197917e+00,1.617098204144437408e+10
8.593896539608877561e+00,1.706202463359245300e+10
8.565297882239132576e+00,1.612604742415483475e+10
8.536794395110215206e+00,1.613444325802408218e+10
8.508385761515841139e+00,1.559591139488563538e+10
8.480071665803642134e+00,1.627529072266981697e+10
8.451851793371682575e+00,1.541513699969856262e+10
8.423725830664954728e+00,1.544008992695623970e+10
8.395693465171893521e+00,1.533313083821909714e+10
8.367754385420905550e+00,1.470584273348109436e+10
8.339908280976908728e+00,1.491331699493848610e+10
8.312154842437884383e+00,1.474787807935329437e+10
8.284493761431434677e+00,1.650115776490842438e+10
8.256924730611363117e+00,1.400303683332901382e+10
8.229447443654253291e+00,1.556303443052593040e+10
8.202061595256070703e+00,1.369795996946358490e+10
8.174766881128764595e+00,1.374430243188483238e+10
8.147562997996887546e+00,1.457517723616845131e+10
8.120449643594234601e+00,1.508753284046308517e+10
8.093426516660478853e+00,1.471250723664406586e+10
8.066493316937812352e+00,1.480385487101885986e+10
8.039649745167636752e+00,1.427922477606885338e+10
8.012895503087213100e+00,1.381992610232900238e+10
7.986230293426357818e+00,1.607667272446103096e+10
7.959653819904140448e+00,1.518031366661899567e+10
7.933165787225590293e+00,1.395063488133616638e+10
7.906765901078417258e+00,1.338540784148155212e+10
7.880453868129736250e+00,1.328536071658024597e+10
7.854229396022815557e+00,1.372588318310113525e+10
7.828092193373821672e+00,1.327380242404796410e+10
7.802041969768583662e+00,1.220190106222471428e+10
7.776078435759370855e+00,1.230861905738327599e+10
7.750201302861670527e+00,1.081823934446721649e+10
7.724410283550982470e+00,1.109595961284987068e+10
7.698705091259631317e+00,1.059032341771690369e+10
7.673085440373576205e+00,1.078950101736651230e+10
7.647551046229237315e+00,1.723067878188327789e+10
7.622101625110339285e+00,1.820404522552955246e+10
7.596736894244746630e+00,1.606965610010737610e+10
7.571456571801338242e+00,1.676917276940098381e+10
7.546260376886857912e+00,1.582012499311235619e+10
7.521148029542807478e+00,1.693564214794027519e+10
7.496119250742332873e+00,1.598184084473873329e+10
7.471173762387119055e+00,1.222571328277908707e+10
7.446311287304299142e+00,1.445831231908355904e+10
7.421531549243385761e+00,1.418483349836367607e+10
7.396834272873192617e+00,1.570928868332012749e+10
7.372219183778772056e+00,1.427543953136835289e+10
7.347686008458377493e+00,1.418050672795244408e+10
7.323234474320412524e+00,1.642915775522817230e+10
7.298864309680411111e+00,1.534358424759169006e+10
7.274575243758015120e+00,1.632936319051779747e+10
7.250367006673959835e+00,1.629734497674929237e+10
7.226239329447092352e+00,1.772938882061049652e+10
7.202191943991361534e+00,1.797879065385954285e+10
7.178224583112855051e+00,1.867009337357803726e+10
7.154336980506822208e+00,1.826474365499004745e+10
7.130528870754718973e+00,2.124313283919616318e+10
7.106799989321260114e+00,2.119515499929270172e+10
7.083150072551472221e+00,2.248880292760344315e+10
7.059578857667773377e+00,2.141765040003360748e+10
7.036086082767048389e+00,2.201737093209204102e+10
7.012671486817740885e+00,2.322020203189128876e+10
6.989334809656949865e+00,2.658438525178607559e+10
6.966075791987543120e+00,2.215078857006950760e+10
6.942894175375271537e+00,2.753650458680425644e+10
6.919789702245902951e+00,2.963378106483189774e+10
6.896762115882355992e+00,2.865628721444350052e+10
6.873811160421849031e+00,2.083224213107755280e+10
6.850936580853058011e+00,2.365533126707648468e+10
6.828138123013279603e+00,2.150372070060805511e+10
6.805415533585614796e+00,2.502360487043769455e+10
6.782768560096145372e+00,2.204918616330411530e+10
6.760196950911133484e+00,2.788400927477929306e+10
6.737700455234225672e+00,2.803339468385649109e+10
6.715278823103662198e+00,2.157036865240572739e+10
