wavelength_um, flux_erg/cm2/s/cm
6.198983192966278644e+00,4.387542246966841888e+10
6.178354297149420304e+00,3.784125151979228210e+10
6.157794049904330436e+00,3.878915364209497833e+10
6.137302222783184824e+00,4.720162560893483734e+10
6.116878588098381364e+00,4.031579017308048248e+10
6.096522918920017631e+00,4.215534305323258972e+10
6.076234989073363124e+00,3.757580693357448578e+10
6.056014573136346613e+00,3.392640560822239304e+10
6.035861446437058575e+00,3.703412493885263824e+10
6.015775385051244761e+00,4.144003812687194824e+10
5.995756165799826398e+00,4.176846890057736206e+10
5.975803566246416842e+00,3.829396342565388489e+10
5.955917364694847116e+00,3.869125673382574463e+10
5.936097340186711868e+00,3.468406468344777679e+10
5.916343272498902905e+00,4.174055798478103638e+10
5.896654942141168476e+00,3.655603026691336060e+10
5.877032130353677886e+00,3.163646727781278992e+10
5.857474619104580782e+00,4.041271999273587036e+10
5.837982191087593975e+00,3.444271131452075958e+10
5.818554629719582039e+00,3.724760831467474365e+10
5.799191719138153012e+00,4.446613511606934357e+10
5.779893244199256763e+00,3.923151934194401550e+10
5.760658990474800234e+00,3.799283716668587494e+10
5.741488744250259124e+00,3.963428537818048096e+10
5.722382292522305569e+00,3.594605407234391022e+10
5.703339422996441144e+00,4.211667030871858978e+10
5.684359924084638749e+00,3.920399272617912292e+10
5.665443584902993379e+00,4.587947858060365295e+10
5.646590195269372003e+00,3.768859963219680023e+10
5.627799545701089201e+00,4.653998632746097565e+10
5.609071427412565924e+00,4.248193204286103821e+10
5.590405632313023787e+00,4.857569951627299500e+10
5.571801953004162478e+00,4.055189310930037689e+10
5.553260182777858489e+00,3.991983309465113068e+10
5.534780115613871843e+00,5.044706909650363922e+10
5.516361546177553699e+00,4.513529167888493347e+10
5.498004269817561074e+00,5.383982905304080963e+10
5.479708082563592875e+00,5.118687432986203003e+10
5.461472781124113496e+00,4.456586466415238190e+10
5.443298162884099511e+00,5.568162529821858215e+10
5.425184025902788143e+00,4.018461945335730743e+10
5.407130168911431056e+00,4.943338478183059692e+10
5.389136391311060592e+00,6.112209720033847046e+10
5.371202493170259551e+00,5.011559139201941681e+10
5.353328275222937194e+00,4.904402949628247833e+10
5.335513538866122119e+00,6.728353079497544098e+10
5.317758086157748920e+00,6.267547035647917175e+10
5.300061719814461725e+00,5.717421277336412048e+10
5.282424243209423054e+00,5.532703550339589691e+10
5.264845460370123575e+00,6.229228369118296051e+10
5.247325175976212286e+00,6.441098993612338257e+10
5.229863195357323136e+00,6.516306945317378998e+10
5.212459324490909651e+00,5.620434506666001892e+10
5.195113370000091990e+00,6.309390347826681519e+10
5.177825139151505773e+00,6.836100378599179840e+10
5.160594439853165127e+00,6.806279420828023529e+10
5.143421080652322175e+00,5.775840031179811859e+10
5.126304870733346064e+00,7.114981208136154175e+10
5.109245619915597558e+00,6.806734978047074890e+10
5.092243138651319612e+00,7.274807976424513245e+10
5.075297238023528834e+00,7.043137839570487976e+10
5.058407729743915837e+00,7.563587950506533813e+10
5.041574426150758015e+00,7.376855827855648804e+10
5.024797140206829660e+00,6.511592696106899261e+10
5.008075685497322738e+00,7.615906651485935974e+10
4.991409876227780984e+00,7.769327632152885437e+10
4.974799527222032225e+00,7.734945716996298218e+10
4.958244453920128691e+00,6.994539870958177185e+10
4.941744472376301545e+00,7.812649972775709534e+10
4.925299399256912736e+00,7.994517417455708313e+10
4.908909051838421078e+00,8.179363782800517273e+10
4.892573248005348319e+00,7.627478817355024719e+10
4.876291806248259419e+00,8.080665578627755737e+10
4.860064545661742841e+00,8.358892584623271179e+10
4.843891285942404146e+00,7.696250316829618835e+10
4.827771847386854276e+00,8.495857926047917175e+10
4.811706050889726249e+00,8.347210535533673096e+10
4.795693717941674095e+00,8.404183973116455078e+10
4.779734670627393101e+00,8.039939841737677002e+10
4.763828731623640955e+00,8.870884915879386902e+10
4.747975724197273095e+00,8.846645557584431458e+10
4.732175472203272726e+00,8.414414572732154846e+10
