wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.207429250076799011e+10
9.951457760902583161e+00,1.218978550067320633e+10
9.918341428919545066e+00,1.205071302886067581e+10
9.885335301036285216e+00,1.167093591430873108e+10
9.852439010517029416e+00,1.241836436335464096e+10
9.819652191846424572e+00,1.235821557970417213e+10
9.786974480725472603e+00,1.289690665104834938e+10
9.754405514067482130e+00,1.289636377234555817e+10
9.721944929994046802e+00,1.303090855522519302e+10
9.689592367831005859e+00,1.315170311430956459e+10
9.657347468104447330e+00,1.317195741823230171e+10
9.625209872536711231e+00,1.324027680281645012e+10
9.593179224042414077e+00,1.345370614180660820e+10
9.561255166724468069e+00,1.373543767633419228e+10
9.529437345870142906e+00,1.390471651499581146e+10
9.497725407947113396e+00,1.382246935661631393e+10
9.466119000599535482e+00,1.400248380345254898e+10
9.434617772644131151e+00,1.383015078639553642e+10
9.403221374066280447e+00,1.410877192440177727e+10
9.371929456016141913e+00,1.439186108449656677e+10
9.340741670804776575e+00,1.485161697003652382e+10
9.309657671900266607e+00,1.482663847772971344e+10
9.278677113923894382e+00,1.495674493709079552e+10
9.247799652646277124e+00,1.519582568510617447e+10
9.217024944983560175e+00,1.544398305284451103e+10
9.186352648993601377e+00,1.552211482511434555e+10
9.155782423872159015e+00,1.543473057116988373e+10
9.125313929949122382e+00,1.590033126757064629e+10
9.094946828684733475e+00,1.582626071821108246e+10
9.064680782665815784e+00,1.599302971410747147e+10
9.034515455602036837e+00,1.563840065038131142e+10
9.004450512322161870e+00,1.643198738585911560e+10
8.974485618770339457e+00,1.612045806834674835e+10
8.944620442002385374e+00,1.628673154718454742e+10
8.914854650182078899e+00,1.647126078148925591e+10
8.885187912577478642e+00,1.670312723468767738e+10
8.855619899557254371e+00,1.689463729480938911e+10
8.826150282587015283e+00,1.663243017036448288e+10
8.796778734225661367e+00,1.609604593665045357e+10
8.767504928121747199e+00,1.670412460658777618e+10
8.738328539009863505e+00,1.699430018435857201e+10
8.709249242707002736e+00,1.658896980241874504e+10
8.680266716108974379e+00,1.635280501406645012e+10
8.651380637186814937e+00,1.689481664914397430e+10
8.622590684983197917e+00,1.595469862936702156e+10
8.593896539608877561e+00,1.681401661019943428e+10
8.565297882239132576e+00,1.593370873229725266e+10
8.536794395110215206e+00,1.594545160655386543e+10
8.508385761515841139e+00,1.544593508963938904e+10
8.480071665803642134e+00,1.610436814963460732e+10
8.451851793371682575e+00,1.528565092177579880e+10
8.423725830664954728e+00,1.531679440813357162e+10
8.395693465171893521e+00,1.521340760268268585e+10
8.367754385420905550e+00,1.462406115014565468e+10
