wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.152034739198859978e+10
9.951457760902583161e+00,1.163482495320232582e+10
9.918341428919545066e+00,1.153402769542484856e+10
9.885335301036285216e+00,1.123164354093841553e+10
9.852439010517029416e+00,1.185929805205408669e+10
9.819652191846424572e+00,1.182818542017277145e+10
9.786974480725472603e+00,1.227922886357638359e+10
9.754405514067482130e+00,1.229294642377047539e+10
9.721944929994046802e+00,1.241346300720570374e+10
9.689592367831005859e+00,1.253210634078177071e+10
9.657347468104447330e+00,1.256765999138604736e+10
9.625209872536711231e+00,1.263331628610325623e+10
9.593179224042414077e+00,1.283740415146852493e+10
9.561255166724468069e+00,1.308179413655442619e+10
9.529437345870142906e+00,1.324159798342735100e+10
9.497725407947113396e+00,1.320336040615677452e+10
9.466119000599535482e+00,1.336826506605466270e+10
9.434617772644131151e+00,1.324624527079472160e+10
9.403221374066280447e+00,1.349939614288571358e+10
9.371929456016141913e+00,1.374199183771664619e+10
9.340741670804776575e+00,1.414755428875908470e+10
9.309657671900266607e+00,1.415452276090011787e+10
9.278677113923894382e+00,1.429571776645322800e+10
9.247799652646277124e+00,1.451940615752990532e+10
9.217024944983560175e+00,1.475299354138554764e+10
9.186352648993601377e+00,1.484481537782829285e+10
9.155782423872159015e+00,1.479881278664740562e+10
9.125313929949122382e+00,1.521829918022103119e+10
9.094946828684733475e+00,1.518712878564675522e+10
9.064680782665815784e+00,1.536016763182312012e+10
9.034515455602036837e+00,1.507245209555479813e+10
9.004450512322161870e+00,1.578586191078650665e+10
8.974485618770339457e+00,1.555122253072205544e+10
8.944620442002385374e+00,1.571270448731129074e+10
8.914854650182078899e+00,1.589873839938087654e+10
8.885187912577478642e+00,1.612264174504704094e+10
8.855619899557254371e+00,1.633347986781156540e+10
8.826150282587015283e+00,1.613542799968553543e+10
8.796778734225661367e+00,1.567587511282072258e+10
8.767504928121747199e+00,1.623835514960481644e+10
8.738328539009863505e+00,1.652582046414859581e+10
8.709249242707002736e+00,1.618110942006789970e+10
8.680266716108974379e+00,1.597674227931801605e+10
8.651380637186814937e+00,1.649540235064428520e+10
8.622590684983197917e+00,1.565918779261624527e+10
8.593896539608877561e+00,1.647674544155039215e+10
8.565297882239132576e+00,1.566822564535418701e+10
8.536794395110215206e+00,1.568535065507419968e+10
8.508385761515841139e+00,1.523631484989906311e+10
8.480071665803642134e+00,1.586756470541202927e+10
8.451851793371682575e+00,1.510360757119219971e+10
8.423725830664954728e+00,1.514386951970556450e+10
8.395693465171893521e+00,1.504596336231276703e+10
8.367754385420905550e+00,1.450709898637919426e+10
8.339908280976908728e+00,1.471909102489805603e+10
8.312154842437884383e+00,1.453779457595314789e+10
8.284493761431434677e+00,1.621425401103603935e+10
8.256924730611363117e+00,1.386389841112933350e+10
8.229447443654253291e+00,1.535256963951504707e+10
8.202061595256070703e+00,1.358232813043267250e+10
8.174766881128764595e+00,1.363333267472022629e+10
8.147562997996887546e+00,1.444269043611772919e+10
8.120449643594234601e+00,1.494421462847029305e+10
8.093426516660478853e+00,1.458884176285732841e+10
8.066493316937812352e+00,1.468500387266705132e+10
8.039649745167636752e+00,1.418774407996723175e+10
8.012895503087213100e+00,1.373559731196753120e+10
7.986230293426357818e+00,1.592640515502940369e+10
7.959653819904140448e+00,1.507766722248649979e+10
7.933165787225590293e+00,1.387565687538790131e+10
7.906765901078417258e+00,1.333222036264385796e+10
7.880453868129736250e+00,1.323443376322660637e+10
7.854229396022815557e+00,1.366911731330507851e+10
7.828092193373821672e+00,1.322653789215765953e+10
7.802041969768583662e+00,1.217145031387053299e+10
7.776078435759370855e+00,1.227689703627905464e+10
7.750201302861670527e+00,1.080188611930072594e+10
7.724410283550982470e+00,1.107699173835245895e+10
7.698705091259631317e+00,1.057282987785832214e+10
7.673085440373576205e+00,1.077047289864255714e+10
7.647551046229237315e+00,1.704785448828183365e+10
