wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.251232427219165993e+10
9.951457760902583161e+00,1.262687679812129211e+10
9.918341428919545066e+00,1.245321076874012947e+10
9.885335301036285216e+00,1.200616133649825668e+10
9.852439010517029416e+00,1.285733919239181900e+10
9.819652191846424572e+00,1.276945145041654778e+10
9.786974480725472603e+00,1.338616057149048615e+10
9.754405514067482130e+00,1.337192451340349770e+10
9.721944929994046802e+00,1.351838544988416481e+10
9.689592367831005859e+00,1.363961470866341019e+10
9.657347468104447330e+00,1.364452479771894073e+10
9.625209872536711231e+00,1.371528660725639725e+10
9.593179224042414077e+00,1.393455231177113533e+10
9.561255166724468069e+00,1.424950036894899178e+10
9.529437345870142906e+00,1.442607138934679413e+10
9.497725407947113396e+00,1.430206825847474098e+10
9.466119000599535482e+00,1.449500756685829926e+10
9.434617772644131151e+00,1.427865334218104553e+10
9.403221374066280447e+00,1.457782214249320221e+10
9.371929456016141913e+00,1.489635744809024811e+10
9.340741670804776575e+00,1.540228841464540482e+10
9.309657671900266607e+00,1.534820124542271042e+10
9.278677113923894382e+00,1.546649984303460503e+10
9.247799652646277124e+00,1.571811873621541786e+10
9.217024944983560175e+00,1.597827571778928375e+10
9.186352648993601377e+00,1.604348721654948997e+10
9.155782423872159015e+00,1.591964391559371567e+10
9.125313929949122382e+00,1.642361712479488945e+10
9.094946828684733475e+00,1.631179574460572052e+10
9.064680782665815784e+00,1.647185923017687225e+10
9.034515455602036837e+00,1.606223830918662643e+10
9.004450512322161870e+00,1.692049259917156982e+10
8.974485618770339457e+00,1.654397967199898148e+10
8.944620442002385374e+00,1.671394687457991219e+10
8.914854650182078899e+00,1.689680824450116920e+10
8.885187912577478642e+00,1.713604370096418381e+10
8.855619899557254371e+00,1.730842301953695679e+10
8.826150282587015283e+00,1.699374810407830811e+10
8.796778734225661367e+00,1.639754266032407761e+10
8.767504928121747199e+00,1.704185041523257637e+10
8.738328539009863505e+00,1.733290568597674942e+10
8.709249242707002736e+00,1.688022964692904091e+10
8.680266716108974379e+00,1.662054366099433327e+10
8.651380637186814937e+00,1.717967106135967255e+10
8.622590684983197917e+00,1.616097548002851486e+10
8.593896539608877561e+00,1.705052878612798309e+10
8.565297882239132576e+00,1.611718800370832062e+10
8.536794395110215206e+00,1.612572580710993958e+10
8.508385761515841139e+00,1.558903846468360901e+10
8.480071665803642134e+00,1.626742822825995827e+10
8.451851793371682575e+00,1.540921684037668037e+10
8.423725830664954728e+00,1.543444602773027039e+10
8.395693465171893521e+00,1.532764309763840103e+10
8.367754385420905550e+00,1.470212841353098106e+10
8.339908280976908728e+00,1.490968147277657890e+10
8.312154842437884383e+00,1.474389280900967216e+10
8.284493761431434677e+00,1.649567960995746613e+10
8.256924730611363117e+00,1.400042755106822586e+10
8.229447443654253291e+00,1.555903998498534966e+10
8.202061595256070703e+00,1.369579526952105713e+10
8.174766881128764595e+00,1.374221889158651161e+10
8.147562997996887546e+00,1.457267313818369293e+10
8.120449643594234601e+00,1.508481470255030251e+10
8.093426516660478853e+00,1.471015780856374741e+10
8.066493316937812352e+00,1.480159203712913895e+10
8.039649745167636752e+00,1.427749079177160645e+10
8.012895503087213100e+00,1.381832375908002663e+10
7.986230293426357818e+00,1.607378769549572754e+10
7.959653819904140448e+00,1.517835465242538643e+10
7.933165787225590293e+00,1.394920606775146294e+10
