wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.246708311914806557e+10
9.951457760902583161e+00,1.258180925497672272e+10
9.918341428919545066e+00,1.241189707220909500e+10
9.885335301036285216e+00,1.197203509736414146e+10
9.852439010517029416e+00,1.281213003294795609e+10
9.819652191846424572e+00,1.272731239553647995e+10
9.786974480725472603e+00,1.333559165474851036e+10
9.754405514067482130e+00,1.332287212352091599e+10
9.721944929994046802e+00,1.346806717149121094e+10
9.689592367831005859e+00,1.358930501370328331e+10
9.657347468104447330e+00,1.359593939546977997e+10
9.625209872536711231e+00,1.366643395794906044e+10
9.593179224042414077e+00,1.388516599648046303e+10
9.561255166724468069e+00,1.419652465196410561e+10
9.529437345870142906e+00,1.437235116003575516e+10
9.497725407947113396e+00,1.425295903432461166e+10
9.466119000599535482e+00,1.444452144528925133e+10
9.434617772644131151e+00,1.423287908227931213e+10
9.403221374066280447e+00,1.452991240738104248e+10
9.371929456016141913e+00,1.484464668343867874e+10
9.340741670804776575e+00,1.534567203876575279e+10
9.309657671900266607e+00,1.529475028075097656e+10
9.278677113923894382e+00,1.541439836571869469e+10
9.247799652646277124e+00,1.566470936437506104e+10
9.217024944983560175e+00,1.592360553564716148e+10
9.186352648993601377e+00,1.599023860555983162e+10
9.155782423872159015e+00,1.587031245528450966e+10
9.125313929949122382e+00,1.637024876732735825e+10
9.094946828684733475e+00,1.626247784227463341e+10
9.064680782665815784e+00,1.642330402503140831e+10
9.034515455602036837e+00,1.601943223995499802e+10
9.004450512322161870e+00,1.687097263369785118e+10
8.974485618770339457e+00,1.650132596154905319e+10
8.944620442002385374e+00,1.667091618630221367e+10
8.914854650182078899e+00,1.685396755915132523e+10
8.885187912577478642e+00,1.709239511857040596e+10
8.855619899557254371e+00,1.726690540850845337e+10
8.826150282587015283e+00,1.695770034278761482e+10
8.796778734225661367e+00,1.636761659965292168e+10
8.767504928121747199e+00,1.700818301477392387e+10
8.738328539009863505e+00,1.729920087495625305e+10
8.709249242707002736e+00,1.685137554166496086e+10
8.680266716108974379e+00,1.659405024137115669e+10
8.651380637186814937e+00,1.715146427157360840e+10
8.622590684983197917e+00,1.614071848700394058e+10
8.593896539608877561e+00,1.702726329301793480e+10
8.565297882239132576e+00,1.609924128170223618e+10
8.536794395110215206e+00,1.610807053536647987e+10
8.508385761515841139e+00,1.557510539941922188e+10
8.480071665803642134e+00,1.625149810445204163e+10
8.451851793371682575e+00,1.539721125638366127e+10
8.423725830664954728e+00,1.542300284158957100e+10
8.395693465171893521e+00,1.531651886010351372e+10
8.367754385420905550e+00,1.469458895525708008e+10
8.339908280976908728e+00,1.490230279041400909e+10
8.312154842437884383e+00,1.473581089067041969e+10
8.284493761431434677e+00,1.648457438796894264e+10
8.256924730611363117e+00,1.399513266530371666e+10
8.229447443654253291e+00,1.555093994180857086e+10
8.202061595256070703e+00,1.369140229760686302e+10
8.174766881128764595e+00,1.373799143014429283e+10
8.147562997996887546e+00,1.456759442284085846e+10
8.120449643594234601e+00,1.507930310586818123e+10
8.093426516660478853e+00,1.470539441173826408e+10
8.066493316937812352e+00,1.479700493012961388e+10
