wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.161847208180657005e+10
9.951457760902583161e+00,1.173329718155957794e+10
9.918341428919545066e+00,1.162615622335685349e+10
9.885335301036285216e+00,1.131070720537391090e+10
9.852439010517029416e+00,1.195864487310782242e+10
9.819652191846424572e+00,1.192285798420469284e+10
9.786974480725472603e+00,1.238856773424058914e+10
9.754405514067482130e+00,1.240000012683215523e+10
9.721944929994046802e+00,1.252292082583848572e+10
9.689592367831005859e+00,1.264207168793153763e+10
9.657347468104447330e+00,1.267523400482561684e+10
9.625209872536711231e+00,1.274133070598483849e+10
9.593179224042414077e+00,1.294721968175613213e+10
9.561255166724468069e+00,1.319786305747898674e+10
9.529437345870142906e+00,1.335936482868907738e+10
9.497725407947113396e+00,1.331401483644450760e+10
9.466119000599535482e+00,1.348150064460862732e+10
9.434617772644131151e+00,1.335102171349965286e+10
9.403221374066280447e+00,1.360863443890428543e+10
9.371929456016141913e+00,1.385805125647677803e+10
9.340741670804776575e+00,1.427287405966721916e+10
9.309657671900266607e+00,1.427457422474121094e+10
9.278677113923894382e+00,1.441410397651840782e+10
9.247799652646277124e+00,1.464047632064213562e+10
9.217024944983560175e+00,1.487659927974345398e+10
9.186352648993601377e+00,1.496620766457012939e+10
9.155782423872159015e+00,1.491326128942223549e+10
9.125313929949122382e+00,1.534071008361919403e+10
9.094946828684733475e+00,1.530234475306580544e+10
9.064680782665815784e+00,1.547445486774380684e+10
9.034515455602036837e+00,1.517513709531037521e+10
9.004450512322161870e+00,1.590257822465958023e+10
8.974485618770339457e+00,1.565478686182322502e+10
8.944620442002385374e+00,1.581712493240568161e+10
8.914854650182078899e+00,1.600294539914300537e+10
8.885187912577478642e+00,1.622815671844126701e+10
8.855619899557254371e+00,1.643596990740008545e+10
8.826150282587015283e+00,1.622678020085256195e+10
8.796778734225661367e+00,1.575356833061546898e+10
8.767504928121747199e+00,1.632408920087212181e+10
8.738328539009863505e+00,1.661215951113625526e+10
8.709249242707002736e+00,1.625668723894304848e+10
8.680266716108974379e+00,1.604652766066408539e+10
8.651380637186814937e+00,1.656946365129873085e+10
8.622590684983197917e+00,1.571452692645542908e+10
8.593896539608877561e+00,1.653976522249828148e+10
8.565297882239132576e+00,1.571816273724808311e+10
8.536794395110215206e+00,1.573421855654610825e+10
8.508385761515841139e+00,1.527597205430065918e+10
8.480071665803642134e+00,1.591219071158833313e+10
8.451851793371682575e+00,1.513814165439731979e+10
8.423725830664954728e+00,1.517664445313033485e+10
8.395693465171893521e+00,1.507766402663127518e+10
8.367754385420905550e+00,1.452946804233407211e+10
8.339908280976908728e+00,1.474092709572618103e+10
8.312154842437884383e+00,1.456114374239008522e+10
8.284493761431434677e+00,1.624595151787939453e+10
8.256924730611363117e+00,1.387952743357032967e+10
8.229447443654253291e+00,1.537595813087907791e+10
8.202061595256070703e+00,1.359534285310294342e+10
8.174766881128764595e+00,1.364579276263862801e+10
8.147562997996887546e+00,1.445748117041654587e+10
8.120449643594234601e+00,1.496016877363916779e+10
8.093426516660478853e+00,1.460258992603594971e+10
8.066493316937812352e+00,1.469819571997861862e+10
8.039649745167636752e+00,1.419794221026853180e+10
8.012895503087213100e+00,1.374497806703217125e+10
7.986230293426357818e+00,1.594295985047153091e+10
7.959653819904140448e+00,1.508904315865731049e+10
7.933165787225590293e+00,1.388397914705075455e+10
7.906765901078417258e+00,1.333815552847925568e+10
7.880453868129736250e+00,1.324011607152157021e+10
7.854229396022815557e+00,1.367543167994406700e+10
7.828092193373821672e+00,1.323180783753473091e+10
7.802041969768583662e+00,1.217486543213930130e+10
7.776078435759370855e+00,1.228045203705041313e+10
7.750201302861670527e+00,1.080373357766282272e+10
7.724410283550982470e+00,1.107912575951642990e+10
7.698705091259631317e+00,1.057479649916470718e+10
7.673085440373576205e+00,1.077260899873749733e+10
7.647551046229237315e+00,1.706775208964495659e+10
7.622101625110339285e+00,1.804787417132409668e+10
7.596736894244746630e+00,1.598475166703287315e+10
7.571456571801338242e+00,1.666371445623600578e+10
7.546260376886857912e+00,1.574056408472765160e+10
7.521148029542807478e+00,1.683418852528424263e+10
7.496119250742332873e+00,1.590342398367450142e+10
7.471173762387119055e+00,1.220183826312235832e+10
7.446311287304299142e+00,1.441132143852812958e+10
7.421531549243385761e+00,1.413899678618621826e+10
7.396834272873192617e+00,1.563839660802109909e+10
7.372219183778772056e+00,1.422932089315821266e+10
7.347686008458377493e+00,1.413330374250232697e+10
7.323234474320412524e+00,1.634188184568594742e+10
7.298864309680411111e+00,1.527784622335234833e+10
7.274575243758015120e+00,1.625424549544801521e+10
7.250367006673959835e+00,1.622363601462022209e+10
