wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.237598167396488762e+10
9.951457760902583161e+00,1.249100274970693207e+10
9.918341428919545066e+00,1.232852226579044914e+10
9.885335301036285216e+00,1.190296845543076897e+10
9.852439010517029416e+00,1.272100197340079880e+10
9.819652191846424572e+00,1.264222096273412323e+10
9.786974480725472603e+00,1.323378863296464348e+10
9.754405514067482130e+00,1.322405064577373505e+10
9.721944929994046802e+00,1.336672145527885246e+10
9.689592367831005859e+00,1.348793880978933144e+10
9.657347468104447330e+00,1.349794630195893097e+10
9.625209872536711231e+00,1.356791342831469536e+10
9.593179224042414077e+00,1.378552119285297203e+10
9.561255166724468069e+00,1.408976463051416206e+10
9.529437345870142906e+00,1.426408578044378090e+10
9.497725407947113396e+00,1.415376710071570396e+10
9.466119000599535482e+00,1.434258664634715652e+10
9.434617772644131151e+00,1.414031894682536697e+10
9.403221374066280447e+00,1.443306060600829887e+10
9.371929456016141913e+00,1.474023860358240700e+10
9.340741670804776575e+00,1.523148108496517372e+10
9.309657671900266607e+00,1.518682208275011253e+10
9.278677113923894382e+00,1.530909558514401054e+10
9.247799652646277124e+00,1.555678146306749916e+10
9.217024944983560175e+00,1.581315423003043175e+10
9.186352648993601377e+00,1.588258872427057457e+10
9.155782423872159015e+00,1.577044492887606430e+10
9.125313929949122382e+00,1.626230268700537872e+10
9.094946828684733475e+00,1.616258354330475426e+10
9.064680782665815784e+00,1.632489694122711372e+10
9.034515455602036837e+00,1.593255710572015190e+10
9.004450512322161870e+00,1.677059843017721748e+10
8.974485618770339457e+00,1.641467400784809303e+10
8.944620442002385374e+00,1.658350190319544411e+10
8.914854650182078899e+00,1.676692391925419235e+10
8.885187912577478642e+00,1.700375792788127899e+10
8.855619899557254371e+00,1.718245164068030930e+10
8.826150282587015283e+00,1.688423011169247055e+10
8.796778734225661367e+00,1.630651715773567581e+10
8.767504928121747199e+00,1.693954773420432091e+10
8.738328539009863505e+00,1.723045259606866837e+10
8.709249242707002736e+00,1.679242577021298981e+10
8.680266716108974379e+00,1.653990248631161880e+10
8.651380637186814937e+00,1.709382859375814438e+10
8.622590684983197917e+00,1.609921091949225426e+10
8.593896539608877561e+00,1.697961783345136452e+10
8.565297882239132576e+00,1.606241799287088585e+10
8.536794395110215206e+00,1.607186101098233414e+10
8.508385761515841139e+00,1.554647366896827316e+10
8.480071665803642134e+00,1.621879999365335846e+10
8.451851793371682575e+00,1.537252343540583038e+10
8.423725830664954728e+00,1.539948034239686012e+10
8.395693465171893521e+00,1.529366151932938194e+10
8.367754385420905550e+00,1.467905479736891365e+10
8.339908280976908728e+00,1.488710327717134857e+10
8.312154842437884383e+00,1.471919047057257080e+10
8.284493761431434677e+00,1.646175423343451881e+10
8.256924730611363117e+00,1.398422928882398987e+10
8.229447443654253291e+00,1.553428406514440346e+10
8.202061595256070703e+00,1.368235494015032005e+10
8.174766881128764595e+00,1.372928828895946503e+10
8.147562997996887546e+00,1.455714737428325844e+10
8.120449643594234601e+00,1.506797067723615456e+10
8.093426516660478853e+00,1.469560267244676781e+10
8.066493316937812352e+00,1.478757850876789856e+10
8.039649745167636752e+00,1.426674638068016434e+10
8.012895503087213100e+00,1.380839854035432053e+10
7.986230293426357818e+00,1.605594219002139664e+10
7.959653819904140448e+00,1.516622817351432419e+10
7.933165787225590293e+00,1.394035998483702087e+10
7.906765901078417258e+00,1.337815705157249069e+10
7.880453868129736250e+00,1.327841733362592697e+10
7.854229396022815557e+00,1.371812017033957100e+10
7.828092193373821672e+00,1.326735407111458206e+10
7.802041969768583662e+00,1.219777255553038406e+10
7.776078435759370855e+00,1.230431491526257515e+10
7.750201302861670527e+00,1.081604022477221870e+10
7.724410283550982470e+00,1.109339754674278069e+10
7.698705091259631317e+00,1.058795866883740616e+10
7.673085440373576205e+00,1.078692501437783813e+10
7.647551046229237315e+00,1.720515542162082672e+10
7.622101625110339285e+00,1.817964795114490891e+10
7.596736894244746630e+00,1.605650871988324165e+10
7.571456571801338242e+00,1.675276851215829277e+10
7.546260376886857912e+00,1.580779989434356117e+10
7.521148029542807478e+00,1.691987420002390289e+10
7.496119250742332873e+00,1.596969181986970520e+10
7.471173762387119055e+00,1.222207876118441963e+10
7.446311287304299142e+00,1.445109174729376793e+10
7.421531549243385761e+00,1.417779104009151840e+10
7.396834272873192617e+00,1.569834557879999542e+10
7.372219183778772056e+00,1.426836188435149193e+10
7.347686008458377493e+00,1.417326538500623512e+10
7.323234474320412524e+00,1.641565687503943443e+10
7.298864309680411111e+00,1.533346140586021805e+10
7.274575243758015120e+00,1.631778270663497162e+10
7.250367006673959835e+00,1.628600787864775085e+10
7.226239329447092352e+00,1.771438520918472672e+10
7.202191943991361534e+00,1.796181102990819168e+10
7.178224583112855051e+00,1.864867222197668839e+10
7.154336980506822208e+00,1.824563533014734650e+10
7.130528870754718973e+00,2.121385651782898331e+10
7.106799989321260114e+00,2.116409742761424637e+10
7.083150072551472221e+00,2.244876199652963257e+10
7.059578857667773377e+00,2.138583810082868576e+10
7.036086082767048389e+00,2.197867508752314758e+10
7.012671486817740885e+00,2.317238603741704559e+10
6.989334809656949865e+00,2.651433274331817245e+10
6.966075791987543120e+00,2.210788456239517593e+10
6.942894175375271537e+00,2.745604315599032211e+10
6.919789702245902951e+00,2.952971951730535126e+10
6.896762115882355992e+00,2.855377359757965469e+10
6.873811160421849031e+00,2.080230562643131256e+10
6.850936580853058011e+00,2.361169031611997223e+10
6.828138123013279603e+00,2.147456562097441864e+10
6.805415533585614796e+00,2.497398350223803329e+10
6.782768560096145372e+00,2.201331316571105957e+10
6.760196950911133484e+00,2.780200371489389801e+10
6.737700455234225672e+00,2.796040801667743683e+10
6.715278823103662198e+00,2.154200595021121979e+10
6.692931805389507716e+00,2.870989287789067841e+10
6.670659153790873042e+00,2.760340765569709015e+10
6.648460620833166246e+00,2.578581592933085632e+10
6.626335959865335745e+00,1.596641835237209892e+10
6.604284925057132050e+00,2.262286344381659698e+10
6.582307271396376613e+00,2.209996447278675461e+10
6.560402754686239568e+00,2.538577567094592667e+10
6.538571131542524562e+00,2.741694564141891479e+10
6.516812159390967807e+00,2.597927228920594406e+10
6.495125596464542461e+00,2.393549231754880524e+10
6.473511201800766557e+00,2.436781721185854340e+10
6.451968735239034025e+00,3.125784230522367096e+10
6.430497957417939503e+00,3.005296818146508408e+10
6.409098629772621791e+00,2.796578942201470566e+10
6.387770514532114419e+00,3.871239903751821136e+10
6.366513374716698870e+00,3.919062690434895325e+10
6.345326974135279130e+00,3.826763242155718231e+10
6.324211077382749124e+00,4.540805151300836945e+10
6.303165449837382361e+00,4.796135517625072479e+10
6.282189857658223353e+00,4.479202561308843994e+10
6.261284067782488805e+00,4.540640151574016571e+10
6.240447847922979463e+00,4.315401879880264282e+10
6.219680966565498181e+00,4.414968420543107605e+10
6.198983192966278644e+00,4.494205093176280975e+10
6.178354297149420304e+00,3.854070781935176849e+10
6.157794049904330436e+00,3.946827696221186829e+10
6.137302222783184824e+00,4.866755755683802795e+10
6.116878588098381364e+00,4.122794549782799530e+10
6.096522918920017631e+00,4.309403960291884613e+10
6.076234989073363124e+00,3.829009980824722290e+10
6.056014573136346613e+00,3.439910692669635010e+10
6.035861446437058575e+00,3.764841887887143707e+10
6.015775385051244761e+00,4.224874268069248962e+10
5.995756165799826398e+00,4.274848683351694489e+10
5.975803566246416842e+00,3.899287702270659637e+10
5.955917364694847116e+00,3.937698006604927063e+10
5.936097340186711868e+00,3.517414177187893677e+10
5.916343272498902905e+00,4.255822400789816284e+10
5.896654942141168476e+00,3.704002081806533813e+10
5.877032130353677886e+00,3.195195826481589890e+10
5.857474619104580782e+00,4.114963237715210724e+10
5.837982191087593975e+00,3.484915011016064453e+10
5.818554629719582039e+00,3.784820317531097412e+10
5.799191719138153012e+00,4.539391469746722412e+10
5.779893244199256763e+00,3.988771697350432587e+10
5.760658990474800234e+00,3.870371563462249756e+10
5.741488744250259124e+00,4.030284067736594391e+10
5.722382292522305569e+00,3.638719586424648285e+10
5.703339422996441144e+00,4.295853232658837891e+10
5.684359924084638749e+00,3.978781512232106781e+10
5.665443584902993379e+00,4.678553012877178955e+10
5.646590195269372003e+00,3.820523393351609039e+10
5.627799545701089201e+00,4.760071415000801086e+10
5.609071427412565924e+00,4.325262866064591217e+10
5.590405632313023787e+00,4.973653738273290253e+10
5.571801953004162478e+00,4.121678126918930054e+10
5.553260182777858489e+00,4.051550148682070923e+10
5.534780115613871843e+00,5.167895099584154510e+10
5.516361546177553699e+00,4.598233192568659973e+10
5.498004269817561074e+00,5.540847669018380737e+10
5.479708082563592875e+00,5.256556233553392792e+10
5.461472781124113496e+00,4.535862506750608063e+10
5.443298162884099511e+00,5.729251784214616394e+10
5.425184025902788143e+00,4.081739460279235077e+10
5.407130168911431056e+00,5.045930195242940521e+10
5.389136391311060592e+00,6.319475028271495819e+10
5.371202493170259551e+00,5.118941487332392883e+10
5.353328275222937194e+00,5.022724275489772797e+10
5.335513538866122119e+00,7.002117391626815796e+10
5.317758086157748920e+00,6.509809803667800140e+10
5.300061719814461725e+00,5.897760209756955719e+10
5.282424243209423054e+00,5.682768991350989532e+10
5.264845460370123575e+00,6.450078494503274536e+10
5.247325175976212286e+00,6.688104234817739868e+10
5.229863195357323136e+00,6.773595141644687653e+10
5.212459324490909651e+00,5.779172211043565369e+10
5.195113370000091990e+00,6.553111432145993805e+10
5.177825139151505773e+00,7.105726833884030151e+10
5.160594439853165127e+00,7.074355387051403809e+10
5.143421080652322175e+00,5.939763844828924561e+10
5.126304870733346064e+00,7.432131488855329895e+10
5.109245619915597558e+00,7.087736198310099792e+10
5.092243138651319612e+00,7.614417281056250000e+10
5.075297238023528834e+00,7.353335151911650085e+10
5.058407729743915837e+00,7.913851205814274597e+10
5.041574426150758015e+00,7.717853132105937195e+10
5.024797140206829660e+00,6.762327067162116241e+10
5.008075685497322738e+00,7.976078161217721558e+10
4.991409876227780984e+00,8.162670634267402649e+10
4.974799527222032225e+00,8.105468756030406189e+10
4.958244453920128691e+00,7.271768282879635620e+10
4.941744472376301545e+00,8.196133887803825378e+10
4.925299399256912736e+00,8.394664108033520508e+10
4.908909051838421078e+00,8.607328815230236816e+10
4.892573248005348319e+00,7.988360789354847717e+10
4.876291806248259419e+00,8.488324449461611938e+10
4.860064545661742841e+00,8.790855614321887207e+10
4.843891285942404146e+00,8.076680689621611023e+10
4.827771847386854276e+00,8.939303925853074646e+10
4.811706050889726249e+00,8.784596425418814087e+10
4.795693717941674095e+00,8.849951626775967407e+10
4.779734670627393101e+00,8.405776522337861633e+10
4.763828731623640955e+00,9.390262800184611511e+10
4.747975724197273095e+00,9.355905220454644775e+10
4.732175472203272726e+00,8.858315145538294983e+10
4.716427800082795940e+00,9.497409510442250061e+10
4.700732532861221280e+00,9.483372791335617065e+10
4.685089496146209065e+00,9.317183428209005737e+10
4.669498516125756282e+00,9.418525802120880127e+10
4.653959419566270128e+00,9.691987084474908447e+10
4.638472033810641548e+00,9.910865888226066589e+10
4.623036186776330325e+00,9.502346698421862793e+10
4.607651706953447501e+00,9.980975540007374573e+10
4.592318423402852900e+00,1.008295767042245331e+11
4.577036165754257979e+00,9.799498438951918030e+10
4.561804764204327789e+00,1.026576921721788483e+11
4.546624049514795374e+00,1.027546087391288452e+11
4.531493853010586825e+00,9.874634315295338440e+10
4.516414006577939233e+00,1.018959299307898865e+11
4.501384342662538174e+00,1.034147064125220642e+11
4.486404694267654314e+00,1.047764285303574371e+11
4.471474894952289780e+00,1.035790305665094299e+11
4.456594778829320092e+00,1.079076431020287323e+11
4.441764180563663622e+00,1.065273197505802917e+11
4.426982935370441297e+00,1.038491027125988312e+11
4.412250879013135396e+00,1.100955951451721649e+11
4.397567847801777674e+00,1.062466256657274475e+11
4.382933678591123261e+00,1.088204390449118500e+11
4.368348208778839670e+00,1.083794215291021423e+11
4.353811276303702904e+00,1.081573974591016083e+11
4.339322719643790904e+00,1.080421132070551910e+11
4.324882377814692980e+00,1.075225421440265656e+11
4.310490090367721905e+00,1.094089712992728119e+11
4.296145697388130458e+00,1.076926434350116272e+11
4.281849039493327069e+00,1.082739312532007751e+11
4.267599957831119895e+00,1.094002104374157257e+11
4.253398294077937791e+00,1.116099528859599457e+11
4.239243890437079720e+00,1.109370091883996124e+11
4.225136589636956153e+00,1.116436838979159546e+11
4.211076234929346462e+00,1.118506376411165009e+11
4.197062670087650993e+00,1.103950303251333466e+11
4.183095739405163549e+00,1.126345496004468689e+11
4.169175287693333232e+00,1.131325854988525238e+11
4.155301160280044037e+00,1.123868600302532043e+11
4.141473203007897119e+00,1.117955472610203247e+11
4.127691262232496605e+00,1.130583005901243896e+11
4.113955184820741628e+00,1.124289574785298462e+11
4.100264818149125468e+00,1.127307933356109314e+11
4.086620010102040013e+00,1.126348816915397491e+11
4.073020609070087339e+00,1.136857567081137238e+11
4.059466463948390391e+00,1.136190356991381989e+11
4.045957424134917879e+00,1.147134392829222717e+11
4.032493339528811838e+00,1.152877280401069336e+11
4.019074060528715187e+00,1.161517462313064423e+11
4.005699438031116166e+00,1.168244457261898804e+11
3.992369323428683003e+00,1.177487313353796692e+11
3.979083568608620780e+00,1.184403926247301025e+11
3.965842025951021643e+00,1.197105710486569672e+11
3.952644548327224339e+00,1.210453895669837952e+11
3.939490989098182183e+00,1.216830361363917999e+11
3.926381202112830593e+00,1.228402466738500366e+11
3.913315041706464825e+00,1.237173775685946350e+11
3.900292362699122162e+00,1.247008773611580658e+11
3.887313020393967200e+00,1.263495542882446442e+11
3.874376870575685139e+00,1.268146120168771820e+11
3.861483769508876840e+00,1.274130490587536011e+11
3.848633573936468100e+00,1.285910659662686462e+11
3.835826141078110929e+00,1.304639694406302948e+11
3.823061328628599043e+00,1.313158891429555817e+11
3.810338994756291342e+00,1.328785605812720337e+11
3.797658998101528294e+00,1.327788993334897919e+11
3.785021197775067847e+00,1.314762736846737366e+11
3.772425453356514691e+00,1.336865592293762817e+11
3.759871624892765940e+00,1.349979959000692139e+11
3.747359572896451052e+00,1.341494897253948212e+11
