wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.183653601684442329e+10
9.951457760902583161e+00,1.195187966205943871e+10
9.918341428919545066e+00,1.182997213732973099e+10
9.885335301036285216e+00,1.148448849699487877e+10
9.852439010517029416e+00,1.217894092855350113e+10
9.819652191846424572e+00,1.213205239519123077e+10
9.786974480725472603e+00,1.263166482097006607e+10
9.754405514067482130e+00,1.263765065040672302e+10
9.721944929994046802e+00,1.276603687344687271e+10
9.689592367831005859e+00,1.288612222605483437e+10
9.657347468104447330e+00,1.291348499001102448e+10
9.625209872536711231e+00,1.298060719609078217e+10
9.593179224042414077e+00,1.319027845227514839e+10
9.561255166724468069e+00,1.345536810479977036e+10
9.529437345870142906e+00,1.362061348281583977e+10
9.497725407947113396e+00,1.355841733813590813e+10
9.466119000599535482e+00,1.373178402463573074e+10
9.434617772644131151e+00,1.358180111115915680e+10
9.403221374066280447e+00,1.384940963163502693e+10
9.371929456016141913e+00,1.411452675519439507e+10
9.340741670804776575e+00,1.455045074836697197e+10
9.309657671900266607e+00,1.453984336295154953e+10
9.278677113923894382e+00,1.467521745243528557e+10
9.247799652646277124e+00,1.490762204793346596e+10
9.217024944983560175e+00,1.514944829786606026e+10
9.186352648993601377e+00,1.523381341265574455e+10
9.155782423872159015e+00,1.516483960191122246e+10
9.125313929949122382e+00,1.561030507408536339e+10
9.094946828684733475e+00,1.555532344360385323e+10
9.064680782665815784e+00,1.572508879836591148e+10
9.034515455602036837e+00,1.539958600805249786e+10
9.004450512322161870e+00,1.615848947343204498e+10
8.974485618770339457e+00,1.588073380404610443e+10
8.944620442002385374e+00,1.604496441737781525e+10
8.914854650182078899e+00,1.623022725807870293e+10
8.885187912577478642e+00,1.645850004678438950e+10
8.855619899557254371e+00,1.665897582133555412e+10
8.826150282587015283e+00,1.642466582656476974e+10
8.796778734225661367e+00,1.592115531122090340e+10
8.767504928121747199e+00,1.650960951631427574e+10
8.738328539009863505e+00,1.679883418284965515e+10
8.709249242707002736e+00,1.641946720017192459e+10
8.680266716108974379e+00,1.619667790854726791e+10
8.651380637186814937e+00,1.672890158400425529e+10
8.622590684983197917e+00,1.583282353757781792e+10
8.593896539608877561e+00,1.667469633187051201e+10
8.565297882239132576e+00,1.582457594027952576e+10
8.536794395110215206e+00,1.583843717453157425e+10
8.508385761515841139e+00,1.536012885188989449e+10
8.480071665803642134e+00,1.600715552034751701e+10
8.451851793371682575e+00,1.521128202056883240e+10
