wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.205073620972681427e+10
9.951457760902583161e+00,1.216623441991411591e+10
9.918341428919545066e+00,1.202891268223742676e+10
9.885335301036285216e+00,1.165260425472348595e+10
9.852439010517029416e+00,1.239467886828887177e+10
9.819652191846424572e+00,1.233589893601212120e+10
9.786974480725472603e+00,1.287061772924559402e+10
9.754405514067482130e+00,1.287074960784411430e+10
9.721944929994046802e+00,1.300467471099740219e+10
9.689592367831005859e+00,1.312541363240594482e+10
9.657347468104447330e+00,1.314640961367098427e+10
9.625209872536711231e+00,1.321460651990944290e+10
9.593179224042414077e+00,1.342768126374138260e+10
9.561255166724468069e+00,1.370772147496568298e+10
9.529437345870142906e+00,1.387660299193641853e+10
9.497725407947113396e+00,1.379642259145449066e+10
9.466119000599535482e+00,1.397576713257294655e+10
9.434617772644131151e+00,1.380569808872002983e+10
9.403221374066280447e+00,1.408322324768401527e+10
9.371929456016141913e+00,1.436449197615341568e+10
9.340741670804776575e+00,1.482184809412144089e+10
9.309657671900266607e+00,1.479833807984194183e+10
9.278677113923894382e+00,1.492900150626539803e+10
9.247799652646277124e+00,1.516741644824708939e+10
9.217024944983560175e+00,1.541494108620541573e+10
9.186352648993601377e+00,1.549371471942163658e+10
9.155782423872159015e+00,1.540819799406404495e+10
9.125313929949122382e+00,1.587178139198640442e+10
9.094946828684733475e+00,1.579964683415423393e+10
9.064680782665815784e+00,1.596673308094125938e+10
9.034515455602036837e+00,1.561501462393923378e+10
9.004450512322161870e+00,1.640514957257555389e+10
8.974485618770339457e+00,1.609701579326992607e+10
8.944620442002385374e+00,1.626308797029628944e+10
8.914854650182078899e+00,1.644769552908757973e+10
8.885187912577478642e+00,1.667919359380014801e+10
8.855619899557254371e+00,1.687163678330173111e+10
8.826150282587015283e+00,1.661221469721512413e+10
8.796778734225661367e+00,1.607907742648141861e+10
8.767504928121747199e+00,1.668520944899393272e+10
8.738328539009863505e+00,1.697530542780982399e+10
8.709249242707002736e+00,1.657254122685725784e+10
8.680266716108974379e+00,1.633768286212188530e+10
8.651380637186814937e+00,1.687874046926577950e+10
8.622590684983197917e+00,1.594294489903270340e+10
8.593896539608877561e+00,1.680056686792689133e+10
8.565297882239132576e+00,1.592320669916115189e+10
8.536794395110215206e+00,1.593514709297187996e+10
8.508385761515841139e+00,1.543770005462988091e+10
8.480071665803642134e+00,1.609502085527952957e+10
8.451851793371682575e+00,1.527852259152542877e+10
8.423725830664954728e+00,1.531001502304991150e+10
8.395693465171893521e+00,1.520683361919112968e+10
8.367754385420905550e+00,1.461952535797396088e+10
8.339908280976908728e+00,1.482889420164691162e+10
8.312154842437884383e+00,1.465587545106943321e+10
8.284493761431434677e+00,1.637504061349362564e+10
8.256924730611363117e+00,1.394250972069790077e+10
