wavelength_um, flux_erg/cm2/s/hz
9.995743794674951666e-01,3.769916530330223110e-09
1.001003363569664684e+00,3.804936321975595203e-09
1.002434390536883768e+00,3.851140973318563396e-09
1.003867463289616957e+00,3.893283669379895402e-09
1.005302584752504558e+00,3.944094836961725313e-09
1.006739757854366424e+00,3.989995352087828517e-09
1.008178985528211502e+00,4.040877801108189097e-09
1.009620270711239609e+00,4.089398290195169952e-09
1.011063616344851201e+00,4.135165286018223235e-09
1.012509025374650928e+00,4.185922482990968298e-09
1.013956500750454737e+00,4.235606987187383722e-09
1.015406045426295201e+00,4.287651259822723204e-09
1.016857662360428627e+00,4.338164871709294932e-09
1.018311354515339939e+00,4.388715355709393202e-09
1.019767124857749563e+00,4.439099994126524346e-09
1.021224976358618530e+00,4.492967150743943461e-09
1.022684911993155588e+00,4.545606387360699340e-09
1.024146934740822967e+00,4.600283067200417543e-09
1.025611047585341717e+00,4.654250306400823900e-09
1.027077253514699029e+00,4.707922049470147644e-09
1.028545555521153343e+00,4.765201619173217494e-09
1.030015956601240568e+00,4.820822887636889495e-09
1.031488459755781406e+00,4.875545432033039849e-09
1.032963067989885575e+00,4.932634723122079992e-09
1.034439784312958910e+00,4.991011042055168484e-09
1.035918611738710471e+00,5.048407241320692336e-09
1.037399553285156095e+00,5.107296240406630547e-09
1.038882611974627501e+00,5.166055193279518137e-09
1.040367790833776507e+00,5.222696813058032776e-09
1.041855092893581913e+00,5.274280582001482821e-09
1.043344521189355500e+00,5.325229042042708552e-09
1.044836078760748466e+00,5.378044412319401379e-09
1.046329768651757419e+00,5.430995223115075920e-09
1.047825593910730824e+00,5.483957722566394780e-09
1.049323557590374545e+00,5.536493073012922253e-09
1.050823662747758958e+00,5.591727203918907553e-09
1.052325912444324718e+00,5.645515182643029202e-09
1.053830309745889204e+00,5.700817896912709580e-09
1.055336857722652510e+00,5.754339607863916418e-09
1.056845559449203886e+00,5.810778890399842446e-09
1.058356418004528177e+00,5.865417401759750441e-09
1.059869436472011373e+00,5.923194834207172018e-09
1.061384617939448383e+00,5.987522239177145201e-09
1.062901965499047474e+00,6.057155824117996040e-09
1.064421482247437822e+00,6.134144686046987068e-09
1.065943171285675950e+00,6.213004095724110282e-09
1.067467035719250834e+00,6.290506686761063432e-09
1.068993078658091900e+00,6.366873889559058674e-09
1.070521303216573905e+00,6.446709110736506240e-09
1.072051712513524269e+00,6.527401259696507277e-09
1.073584309672228176e+00,6.610469839069951552e-09
1.075119097820437464e+00,6.679266988542553117e-09
1.076656080090373724e+00,6.774472197168853538e-09
1.078195259618737634e+00,6.850219077958637346e-09
1.079736639546712951e+00,6.935212626337731469e-09
1.081280223019974951e+00,7.015105745232065678e-09
1.082826013188695757e+00,7.089486487808544166e-09
1.084374013207550114e+00,7.160317671579274012e-09
1.085924226235723822e+00,7.222138751383798363e-09
1.087476655436918627e+00,7.298418249703566150e-09
1.089031303979358878e+00,7.366893810167149832e-09
1.090588175035798635e+00,7.441062973000932000e-09
1.092147271783526774e+00,7.473676534030077126e-09
1.093708597404375649e+00,7.542726027802191002e-09
1.095272155084725085e+00,7.587767727996751952e-09
1.096837948015511044e+00,7.671326513333251026e-09
1.098405979392230947e+00,7.725854832650364811e-09
1.099976252414950562e+00,7.720448911385998662e-09
1.101548770288309997e+00,7.607525655073564762e-09
1.103123536221531253e+00,7.937306468277450096e-09
1.104700553428424215e+00,7.907445919454319339e-09
1.106279825127392868e+00,7.702806945618464059e-09
1.107861354541442189e+00,7.754880929404612157e-09
1.109445144898185021e+00,7.998883030994917583e-09
1.111031199429848071e+00,7.418987752446078481e-09
1.112619521373279019e+00,8.030469809701204643e-09
1.114210113969952953e+00,7.897660567902000779e-09
1.115802980465978589e+00,7.585577269348304739e-09
1.117398124112106039e+00,8.149901496911716441e-09
1.118995548163731701e+00,8.097742697435868965e-09
1.120595255880906471e+00,8.400509845008387208e-09
1.122197250528341739e+00,8.298102819103002310e-09
1.123801535375415828e+00,8.652229906557976386e-09
1.125408113696181545e+00,8.646897611792998241e-09
1.127016988769371286e+00,9.048543071299483463e-09
1.128628163878405477e+00,8.942212924591176301e-09
1.130241642311398564e+00,8.763811160536957627e-09
1.131857427361164570e+00,8.652545008512415105e-09
1.133475522325226414e+00,8.255577234235090299e-09
1.135095930505820139e+00,8.036823907206071140e-09
1.136718655209902895e+00,8.924501752811675911e-09
1.138343699749159388e+00,9.862260072185010742e-09
1.139971067440008978e+00,9.812790064715195681e-09
1.141600761603611680e+00,1.004185404430646339e-08
1.143232785565875709e+00,9.595030528427776349e-09
1.144867142657463921e+00,9.565552985467866877e-09
1.146503836213800476e+00,1.026498195758862075e-08
1.148142869575078384e+00,1.009549788410170804e-08
1.149784246086265060e+00,1.036165938691994620e-08
1.151427969097110537e+00,1.046583421298798562e-08
1.153074041962153018e+00,9.906344257368673011e-09
1.154722468040726646e+00,1.046899941858310458e-08
1.156373250696967947e+00,1.018997362989106523e-08
1.158026393299822931e+00,1.086879105074088084e-08
1.159681899223053758e+00,1.012560925087881934e-08
1.161339771845245394e+00,1.098910964977058580e-08
1.163000014549813388e+00,1.087668532551750545e-08
1.164662630725009862e+00,1.085697404249208859e-08
1.166327623763930621e+00,1.111755287048242590e-08
1.167994997064522256e+00,1.130782305541042800e-08
1.169664754029589471e+00,1.121800252665192385e-08
1.171336898066801302e+00,1.163274757576060005e-08
1.173011432588698222e+00,1.177786917872756259e-08
1.174688361012699467e+00,1.177007835397031293e-08
1.176367686761109255e+00,1.199772481812149989e-08
1.178049413261125444e+00,1.224916271686442593e-08
1.179733543944844198e+00,1.250157730666051881e-08
1.181420082249268866e+00,1.276444655841009608e-08
1.183109031616315754e+00,1.281275515380018108e-08
1.184800395492822345e+00,1.295718944892595543e-08
1.186494177330553512e+00,1.321755403067925516e-08
1.188190380586208406e+00,1.341884042767386804e-08
1.189889008721427999e+00,1.357487030263230623e-08
1.191590065202802640e+00,1.368354771530515584e-08
1.193293553501877380e+00,1.391632168071146365e-08
1.194999477095161300e+00,1.400040741923223756e-08
1.196707839464132395e+00,1.422381610314473038e-08
1.198418644095246233e+00,1.433377112353901185e-08
1.200131894479943062e+00,1.455138559396038830e-08
1.201847594114653583e+00,1.460937598458729526e-08
1.203565746500807609e+00,1.485219973962723906e-08
1.205286355144840282e+00,1.506739800221568897e-08
1.207009423558199623e+00,1.517880671135901562e-08
1.208734955257353638e+00,1.526958969440681677e-08
1.210462953763797422e+00,1.546366458516751771e-08
1.212193422604060267e+00,1.553528432049536450e-08
1.213926365309713429e+00,1.566304538539448576e-08
1.215661785417375906e+00,1.578340326849776370e-08
1.217399686468723097e+00,1.591866220316393936e-08
1.219140072010493903e+00,1.599095182597639804e-08
1.220882945594497837e+00,1.615406603111146866e-08
1.222628310777620797e+00,1.626170396690149134e-08
1.224376171121834833e+00,1.632115373830605461e-08
1.226126530194203479e+00,1.653661913267873670e-08
1.227879391566889966e+00,1.666577851711829996e-08
1.229634758817164553e+00,1.677170827861576408e-08
1.231392635527410739e+00,1.694754787939710520e-08
1.233153025285134152e+00,1.708400400846212113e-08
1.234915931682968537e+00,1.721643745925921304e-08
1.236681358318684198e+00,1.733616305916547590e-08
1.238449308795194215e+00,1.750827742585229863e-08
1.240219786720562656e+00,1.760855034848597210e-08
1.241992795708011688e+00,1.780199650558516327e-08
1.243768339375928900e+00,1.796257817850651381e-08
1.245546421347874411e+00,1.817460400028866795e-08
