wavelength_um,flux_erg/cm2/s/hz
1.500521154650225064e+00,3.332745542768295660e-08
1.502666288538216932e+00,3.248574069697760670e-08
1.504814489093668328e+00,3.428965052535793712e-08
1.506965760700664347e+00,3.441189942346425034e-08
1.509120107749557516e+00,3.537945873916104729e-08
1.511277534636976450e+00,3.564544517812917473e-08
1.513438045765835849e+00,3.555818548323536947e-08
1.515601645545344045e+00,3.672456193190504173e-08
1.517768338391013216e+00,3.659630573464715357e-08
1.519938128724667159e+00,3.681451364588333758e-08
1.522111020974452389e+00,3.711637903830177572e-08
1.524287019574844804e+00,3.780465678812522987e-08
1.526466128966660118e+00,3.782157953679717861e-08
1.528648353597062970e+00,3.822811134034707838e-08
1.530833697919575132e+00,3.857926677464434325e-08
1.533022166394085062e+00,3.917659535048717950e-08
1.535213763486857452e+00,3.963112351313023224e-08
1.537408493670541443e+00,3.961197530697056302e-08
1.539606361424180392e+00,4.033687546996559887e-08
1.541807371233221646e+00,4.044324806987330280e-08
1.544011527589523647e+00,4.069533321641434224e-08
1.546218834991367252e+00,4.109264718103057420e-08
1.548429297943463734e+00,4.133271935579702663e-08
1.550642920956964321e+00,4.142463382005513401e-08
1.552859708549469087e+00,4.181456668659651100e-08
1.555079665245036491e+00,4.199469327181018402e-08
1.557302795574193155e+00,4.228096333532025789e-08
1.559529104073942074e+00,4.259060039400242343e-08
1.561758595287772167e+00,4.274766301112134587e-08
1.563991273765667600e+00,4.297944755629392809e-08
1.566227144064117560e+00,4.325413579139177457e-08
1.568466210746124911e+00,4.351403705388718753e-08
1.570708478381215967e+00,4.383299557086761012e-08
1.572953951545449369e+00,4.411847115847849427e-08
1.575202634821425862e+00,4.444894962392144160e-08
1.577454532798297393e+00,4.470304496360051052e-08
1.579709650071775995e+00,4.501250490561507749e-08
1.581967991244144667e+00,4.533957111834152731e-08
1.584229560924265146e+00,4.565047583176199309e-08
1.586494363727588119e+00,4.595253327665986129e-08
1.588762404276162332e+00,4.627413580843658870e-08
1.591033687198644575e+00,4.649927158667605153e-08
1.593308217130307902e+00,4.687590018739873083e-08
1.595585998713053399e+00,4.712306795921482063e-08
1.597867036595416623e+00,4.740434150699195937e-08
1.600151335432579591e+00,4.766428197817861784e-08
1.602438899886378998e+00,4.779070546516215495e-08
1.604729734625315984e+00,4.797927642387104062e-08
1.607023844324565687e+00,4.817820452483283254e-08
1.609321233665987672e+00,4.825637164695644747e-08
1.611621907338133486e+00,4.832225570096850736e-08
1.613925870036258203e+00,4.766666828561016531e-08
1.616233126462328862e+00,4.789061490850453487e-08
1.618543681325034456e+00,4.797437490520301771e-08
1.620857539339795039e+00,4.709889111958293234e-08
1.623174705228772829e+00,4.680348527261033249e-08
1.625495183720879755e+00,4.789060826695994567e-08
1.627818979551789003e+00,4.741399579215641427e-08
1.630146097463943455e+00,4.696997516175728474e-08
1.632476542206565240e+00,4.851357775832187081e-08
1.634810318535667051e+00,4.884199497455856796e-08
1.637147431214059923e+00,4.776178418821069285e-08
1.639487885011364110e+00,4.876993848210879262e-08
1.641831684704017968e+00,4.917433121211425247e-08
1.644178835075289058e+00,5.133155436870111639e-08
1.646529340915282358e+00,5.103078402858632911e-08
1.648883207020951369e+00,5.138859418422860135e-08
1.651240438196106552e+00,5.215608665729459080e-08
1.653601039251426430e+00,5.301488282438532179e-08
1.655965015004466245e+00,5.182950042742085313e-08
1.658332370279669510e+00,5.280333716549357976e-08
1.660703109908375552e+00,5.404040250908713201e-08
1.663077238728830842e+00,5.439641728819786827e-08
1.665454761586198762e+00,4.775689820897562373e-08
1.667835683332569374e+00,4.624515694296078340e-08
1.670220008826969416e+00,5.111800265505232312e-08
1.672607742935371178e+00,5.209801311618992000e-08
1.674998890530704054e+00,5.366506634925645223e-08
1.677393456492863866e+00,5.512834190418014450e-08
1.679791445708722186e+00,5.603422775433470731e-08
1.682192863072137001e+00,5.646017106840531102e-08
1.684597713483963144e+00,5.509988937196543113e-08
1.687006001852060511e+00,5.606274838539139781e-08
1.689417733091306051e+00,5.700237621414354502e-08
1.691832912123602428e+00,5.649869940760786002e-08
1.694251543877889343e+00,5.568021522583207173e-08
1.696673633290152416e+00,5.679714474651147293e-08
1.699099185303433845e+00,5.678169013478189323e-08
1.701528204867841954e+00,5.589894866563499155e-08
1.703960696940562514e+00,5.695231733406058738e-08
